id,total_evs,avg_battery,SUV,Pickup,Sedan,Van
4851,11,88.18181818181819,6,3,2,0
4852,11,88.18181818181819,6,3,2,0
4853,11,88.18181818181819,6,3,2,0
4855,11,88.18181818181819,6,3,2,0
4860,11,88.18181818181819,6,3,2,0
4861,11,88.18181818181819,6,3,2,0
4863,11,88.18181818181819,6,3,2,0
4864,11,88.18181818181819,6,3,2,0
4868,11,88.18181818181819,6,3,2,0
4869,11,88.18181818181819,6,3,2,0
4872,11,88.18181818181819,6,3,2,0
4873,11,88.18181818181819,6,3,2,0
4876,11,88.18181818181819,6,3,2,0
4877,11,88.18181818181819,6,3,2,0
4878,11,88.18181818181819,6,3,2,0
4882,11,88.18181818181819,6,3,2,0
4884,11,88.18181818181819,6,3,2,0
4885,11,88.18181818181819,6,3,2,0
